country,dystopia_residual,family,freedom,gdp_per_capita,generosity,government_corruption,life_expectancy,lower_confidence_interval,rank,region,score,social_support,standard_error,upper_confidence_interval,whiskerhigh,whiskerlow
Liberia,2.77729,0.78968,0.28531,0.0712,0.24362,0.06232,0.34201,,116,Sub-Saharan Africa,4.571,,0.11068,,,
India,2.27513,0.38174,0.39786,0.64499,0.26475,0.08492,0.51529,,117,Southern Asia,4.565,,0.02043,,,
Sudan,2.20857,1.01404,0.10081,0.52107,0.19062,0.1466,0.36878,,118,Sub-Saharan Africa,4.55,,0.0674,,,
Haiti,2.24173,0.74302,0.24425,0.26673,0.46187,0.17175,0.38847,,119,Latin America and Caribbean,4.518,,0.07331,,,
Congo (Kinshasa),2.86712,1.0012,0.22605,0.0,0.24834,0.07625,0.09806,,120,Sub-Saharan Africa,4.517,,0.0368,,,
Nepal,1.95637,0.86449,0.38282,0.35997,0.32296,0.05907,0.56874,,121,Southern Asia,4.514,,0.03607,,,
Ethiopia,2.44876,0.60406,0.4345,0.19073,0.24325,0.15048,0.44055,,122,Sub-Saharan Africa,4.512,,0.0378,,,
Sierra Leone,2.51009,0.95571,0.4084,0.33024,0.21488,0.08786,0.0,,123,Sub-Saharan Africa,4.507,,0.07068,,,
Mauritania,2.11773,0.86908,0.24232,0.45407,0.219,0.17461,0.35874,,124,Sub-Saharan Africa,4.436,,0.03947,,,
Kenya,1.78555,0.99876,0.42215,0.36471,0.37542,0.05839,0.41435,,125,Sub-Saharan Africa,4.419,,0.04734,,,
Djibouti,2.05125,0.59207,0.46074,0.44025,0.18093,0.28105,0.36291,,126,Sub-Saharan Africa,4.369,,0.08096,,,
Armenia,1.75873,0.77711,0.19847,0.76821,0.07855,0.039,0.7299,,127,Central and Eastern Europe,4.35,,0.04763,,,
Botswana,1.46181,1.10464,0.49495,0.99355,0.10461,0.12474,0.04776,,128,Sub-Saharan Africa,4.332,,0.04934,,,
Myanmar,1.41805,0.70905,0.44017,0.27108,0.79588,0.19034,0.48246,,129,Southeastern Asia,4.307,,0.04351,,,
Georgia,1.59541,0.38562,0.40577,0.7419,0.05547,0.38331,0.72926,,130,Central and Eastern Europe,4.297,,0.04221,,,
Malawi,2.80791,0.41134,0.43054,0.01604,0.33128,0.06977,0.22562,,131,Sub-Saharan Africa,4.292,,0.0613,,,
Sri Lanka,0.67108,1.01905,0.53726,0.83524,0.40828,0.09179,0.70806,,132,Southern Asia,4.271,,0.03751,,,
Cameroon,1.95071,0.88767,0.49309,0.4225,0.20618,0.05786,0.23402,,133,Sub-Saharan Africa,4.252,,0.04678,,,
Bulgaria,0.89991,1.10614,0.30587,1.01216,0.11921,0.00872,0.76649,,134,Central and Eastern Europe,4.218,,0.04828,,,
Egypt,1.59927,0.747,0.17288,0.8818,0.11291,0.06324,0.61712,,135,Middle East and Northern Africa,4.194,,0.0326,,,
Yemen,1.92313,0.68093,0.35571,0.54649,0.09131,0.07854,0.40064,,136,Middle East and Northern Africa,4.077,,0.04367,,,
Angola,1.94939,0.8604,0.10384,0.75778,0.12344,0.07122,0.16683,,137,Sub-Saharan Africa,4.033,,0.04758,,,
Mali,1.79293,1.03526,0.38857,0.26074,0.18798,0.12352,0.20583,,138,Sub-Saharan Africa,3.995,,0.05602,,,
Congo (Brazzaville),1.68135,0.6629,0.41466,0.67866,0.12388,0.11686,0.31051,,139,Sub-Saharan Africa,3.989,,0.06682,,,
Comoros,1.95812,0.79273,0.22917,0.23906,0.17441,0.199,0.36315,,140,Sub-Saharan Africa,3.956,,0.04797,,,
Uganda,1.42766,1.13299,0.45727,0.21102,0.29066,0.07267,0.33861,,141,Sub-Saharan Africa,3.931,,0.04317,,,
Senegal,1.44395,0.97619,0.36772,0.36498,0.20843,0.10713,0.4354,,142,Sub-Saharan Africa,3.904,,0.03608,,,
Gabon,0.99895,0.90528,0.31914,1.06024,0.06822,0.11091,0.43372,,143,Sub-Saharan Africa,3.896,,0.04547,,,
Niger,1.87877,0.77265,0.47692,0.0694,0.19387,0.15639,0.29707,,144,Sub-Saharan Africa,3.845,,0.03602,,,
Cambodia,0.98195,0.62736,0.66246,0.46038,0.40359,0.07247,0.61114,,145,Southeastern Asia,3.819,,0.05069,,,
Tanzania,1.38079,1.00268,0.32878,0.2852,0.34377,0.05747,0.38215,,146,Sub-Saharan Africa,3.781,,0.05061,,,
Madagascar,1.851,0.66801,0.19184,0.20824,0.21333,0.08124,0.46721,,147,Sub-Saharan Africa,3.681,,0.03633,,,
Central African Republic,2.7223,0.0,0.48879,0.0785,0.23835,0.08289,0.06699,,148,Sub-Saharan Africa,3.678,,0.06112,,,
Chad,1.94296,0.76062,0.23501,0.34193,0.18386,0.05269,0.1501,,149,Sub-Saharan Africa,3.667,,0.0383,,,
Guinea,1.99172,0.46475,0.37725,0.17417,0.28657,0.12139,0.24009,,150,Sub-Saharan Africa,3.656,,0.0359,,,
Ivory Coast,1.41723,0.77115,0.46866,0.46534,0.20165,0.17922,0.15185,,151,Sub-Saharan Africa,3.655,,0.05141,,,
Burkina Faso,1.46494,0.85188,0.39493,0.25812,0.21747,0.12832,0.27125,,152,Sub-Saharan Africa,3.587,,0.04324,,,
Afghanistan,1.9521,0.30285,0.23414,0.31982,0.3651,0.09719,0.30335,,153,Southern Asia,3.575,,0.03084,,,
Rwanda,0.67042,0.7737,0.59201,0.22208,0.22628,0.55191,0.42864,,154,Sub-Saharan Africa,3.465,,0.03464,,,
Benin,1.63328,0.35386,0.4845,0.28665,0.1826,0.0801,0.3191,,155,Sub-Saharan Africa,3.34,,0.03656,,,
Syria,0.32858,0.47489,0.15684,0.6632,0.47179,0.18906,0.72193,,156,Middle East and Northern Africa,3.006,,0.05015,,,
Burundi,1.83302,0.41587,0.1185,0.0153,0.19727,0.10062,0.22396,,157,Sub-Saharan Africa,2.905,,0.08658,,,
Togo,1.56726,0.13995,0.36453,0.20868,0.16681,0.10731,0.28443,,158,Sub-Saharan Africa,2.839,,0.06727,,,
Denmark,2.73939,1.16374,0.57941,1.44178,0.36171,0.44453,0.79504,7.46,1,Western Europe,7.526,,,7.592,,
Switzerland,2.69463,1.14524,0.58557,1.52733,0.28083,0.41203,0.86303,7.428,2,Western Europe,7.509,,,7.59,,
Iceland,2.83137,1.18326,0.56624,1.42666,0.47678,0.14975,0.86733,7.333,3,Western Europe,7.501,,,7.669,,
Norway,2.66465,1.1269,0.59609,1.57744,0.37895,0.35776,0.79579,7.421,4,Western Europe,7.498,,,7.575,,
Finland,2.82596,1.13464,0.57104,1.40598,0.25492,0.41004,0.81091,7.351,5,Western Europe,7.413,,,7.475,,
Canada,2.70485,1.0961,0.5737,1.44015,0.44834,0.31329,0.8276,7.335,6,North America,7.404,,,7.473,,
Netherlands,2.70749,1.02912,0.55211,1.46468,0.47416,0.29927,0.81231,7.284,7,Western Europe,7.339,,,7.394,,
New Zealand,2.47553,1.17278,0.58147,1.36066,0.49401,0.41904,0.83096,7.264,8,Australia and New Zealand,7.334,,,7.404,,
Australia,2.5465,1.10476,0.56837,1.44443,0.47407,0.32331,0.8512,7.241,9,Australia and New Zealand,7.313,,,7.385,,
Sweden,2.54734,1.08764,0.58218,1.45181,0.38254,0.40867,0.83121,7.227,10,Western Europe,7.291,,,7.355,,
Israel,3.31029,0.99537,0.36432,1.33766,0.32288,0.08728,0.84917,7.199,11,Middle East and Northern Africa,7.267,,,7.335,,
Austria,2.69343,1.08383,0.54355,1.45038,0.32865,0.21348,0.80565,7.045,12,Western Europe,7.119,,,7.193,,
United States,2.72782,1.04782,0.48163,1.50796,0.41077,0.14868,0.779,7.02,13,North America,7.104,,,7.188,,
Costa Rica,3.35168,1.02152,0.55225,1.06879,0.22553,0.10547,0.76146,6.999,14,Latin America and Caribbean,7.087,,,7.175,,
Puerto Rico,3.0076,1.08113,0.46823,1.35943,0.22202,0.12275,0.77758,6.794,15,Latin America and Caribbean,7.039,,,7.284,,
Germany,2.50931,1.09774,0.53466,1.44787,0.30452,0.28551,0.81487,6.93,16,Western Europe,6.994,,,7.058,,
Brazil,3.50733,1.03938,0.40425,1.08754,0.15776,0.14166,0.61415,6.875,17,Latin America and Caribbean,6.952,,,7.029,,
Belgium,2.61355,1.05249,0.51354,1.42539,0.2424,0.26248,0.81959,6.861,18,Western Europe,6.929,,,6.997,,
Ireland,2.15988,1.16157,0.54008,1.48341,0.44963,0.29754,0.81455,6.836,19,Western Europe,6.907,,,6.978,,
Luxembourg,2.11055,1.03999,0.5487,1.69752,0.27571,0.35329,0.84542,6.804,20,Western Europe,6.871,,,6.938,,
Mexico,3.55906,0.7146,0.37709,1.11508,0.11735,0.18355,0.71143,6.68,21,Latin America and Caribbean,6.778,,,6.876,,
Singapore,1.99375,0.86758,0.4877,1.64555,0.32706,0.46987,0.94719,6.674,22,Southeastern Asia,6.739,,,6.804,,
United Kingdom,2.14999,1.08672,0.50036,1.40283,0.50156,0.27399,0.80991,6.647,23,Western Europe,6.725,,,6.803,,
Chile,2.95505,0.90587,0.37789,1.2167,0.31595,0.11451,0.81883,6.615,24,Latin America and Caribbean,6.705,,,6.795,,
Panama,3.00559,0.98912,0.48927,1.18306,0.2418,0.08423,0.70835,6.601,25,Latin America and Caribbean,6.701,,,6.801,,
Argentina,3.12985,1.06612,0.42284,1.15137,0.10989,0.07296,0.69711,6.56,26,Latin America and Caribbean,6.65,,,6.74,,
Czech Republic,2.96211,1.00793,0.41418,1.30915,0.09929,0.03986,0.76376,6.515,27,Central and Eastern Europe,6.596,,,6.677,,
United Arab Emirates,2.21507,0.87114,0.56215,1.57352,0.26591,0.35561,0.72993,6.494,28,Middle East and Northern Africa,6.573,,,6.652,,
Uruguay,2.67139,1.03143,0.54388,1.18157,0.18056,0.21394,0.72183,6.456,29,Latin America and Caribbean,6.545,,,6.634,,
Malta,1.99032,1.09879,0.54994,1.30782,0.56237,0.17554,0.80315,6.409,30,Western Europe,6.488,,,6.567,,
Colombia,3.17471,1.02169,0.44735,1.03032,0.15626,0.05399,0.59659,6.384,31,Latin America and Caribbean,6.481,,,6.578,,
France,2.4744,1.00508,0.46562,1.39488,0.1216,0.17808,0.83795,6.397,32,Western Europe,6.478,,,6.559,,
Thailand,2.5796,1.04477,0.49553,1.0893,0.58696,0.02833,0.64915,6.396,33,Southeastern Asia,6.474,,,6.552,,
Saudi Arabia,2.61482,0.84829,0.37904,1.48953,0.15457,0.30008,0.59267,6.287,34,Middle East and Northern Africa,6.379,,,6.471,,
Taiwan,2.61523,0.92624,0.32377,1.39729,0.25495,0.0663,0.79565,6.305,34,Eastern Asia,6.379,,,6.453,,
Qatar,1.58224,0.87964,0.56679,1.82427,0.32388,0.48049,0.71723,6.178,36,Middle East and Northern Africa,6.375,,,6.572,,
Spain,2.39663,1.12945,0.37545,1.34253,0.17665,0.06137,0.87896,6.288,37,Western Europe,6.361,,,6.434,,
Algeria,3.40904,0.83309,0.21006,1.05266,0.07044,0.16157,0.61804,6.227,38,Middle East and Northern Africa,6.355,,,6.483,,
Guatemala,3.19863,0.87119,0.50379,0.83454,0.28808,0.08701,0.54039,6.213,39,Latin America and Caribbean,6.324,,,6.435,,
Suriname,3.06852,0.77866,0.52234,1.09686,0.16665,0.12692,0.50933,6.073,40,Latin America and Caribbean,6.269,,,6.465,,
Kuwait,2.28085,0.87758,0.43166,1.61714,0.15965,0.23669,0.63569,6.154,41,Middle East and Northern Africa,6.239,,,6.324,,
Bahrain,2.27405,0.94397,0.47375,1.44024,0.17147,0.25772,0.65696,6.128,42,Middle East and Northern Africa,6.218,,,6.308,,
Trinidad and Tobago,2.51394,0.98569,0.48453,1.32572,0.31935,0.01241,0.52608,5.95,43,Latin America and Caribbean,6.168,,,6.386,,
Venezuela,2.97468,1.03302,0.19847,1.13367,0.0425,0.08304,0.61904,5.973,44,Latin America and Caribbean,6.084,,,6.195,,
Slovakia,2.61065,1.08268,0.23391,1.27973,0.13837,0.02947,0.70367,5.996,45,Central and Eastern Europe,6.078,,,6.16,,
El Salvador,3.22134,0.80975,0.37269,0.8737,0.08877,0.10613,0.596,5.967,46,Latin America and Caribbean,6.068,,,6.169,,
Malaysia,2.35384,0.88025,0.39031,1.25142,0.41474,0.09081,0.62366,5.921,47,Southeastern Asia,6.005,,,6.089,,
Nicaragua,2.82428,0.89521,0.46582,0.69384,0.29773,0.16292,0.65213,5.877,48,Latin America and Caribbean,5.992,,,6.107,,
Uzbekistan,2.34638,1.1681,0.60848,0.73591,0.34326,0.28333,0.50163,5.896,49,Central and Eastern Europe,5.987,,,6.078,,
Italy,2.34918,1.04167,0.18827,1.35495,0.16684,0.02556,0.85102,5.898,50,Western Europe,5.977,,,6.056,,
Ecuador,2.77366,0.85974,0.4027,0.97306,0.10074,0.18037,0.68613,5.88,51,Latin America and Caribbean,5.976,,,6.072,,
Belize,3.08039,0.68655,0.51231,0.87616,0.23684,0.10771,0.45569,5.71,52,Latin America and Caribbean,5.956,,,6.202,,
Japan,1.80584,1.06054,0.46761,1.38007,0.10224,0.18985,0.91491,5.85,53,Eastern Asia,5.921,,,5.992,,
Kazakhstan,2.49325,0.95544,0.4052,1.22943,0.15011,0.11132,0.57386,5.837,54,Central and Eastern Europe,5.919,,,6.001,,
Moldova,3.38007,0.83132,0.25202,0.69177,0.19997,0.01903,0.52309,5.823,55,Central and Eastern Europe,5.897,,,5.971,,
Russia,2.59115,1.05261,0.32682,1.23228,0.02736,0.03586,0.58991,5.789,56,Central and Eastern Europe,5.856,,,5.923,,
Poland,2.20035,1.04685,0.4519,1.24585,0.14443,0.055,0.69058,5.749,57,Central and Eastern Europe,5.835,,,5.921,,
South Korea,2.35015,0.72194,0.25168,1.35948,0.18824,0.07716,0.88645,5.747,57,Eastern Asia,5.835,,,5.923,,
Bolivia,2.91635,0.83779,0.50961,0.79422,0.21698,0.07746,0.4697,5.74,59,Latin America and Caribbean,5.822,,,5.904,,
Lithuania,2.60525,1.06411,0.18929,1.2692,0.02025,0.0182,0.64674,5.734,60,Central and Eastern Europe,5.813,,,5.892,,
Belarus,2.38582,1.04993,0.29091,1.13062,0.13942,0.17457,0.63104,5.723,61,Central and Eastern Europe,5.802,,,5.881,,
North Cyprus,1.93447,0.81826,0.43596,1.31141,0.26322,0.16578,0.84142,5.67,62,Western Europe,5.771,,,5.872,,
Slovenia,1.79522,1.05613,0.53164,1.29947,0.25738,0.03635,0.79151,5.683,63,Central and Eastern Europe,5.768,,,5.853,,
Peru,2.73117,0.81255,0.37502,0.99602,0.14527,0.05292,0.62994,5.647,64,Latin America and Caribbean,5.743,,,5.839,,
Turkmenistan,2.21489,1.03817,0.37408,1.08017,0.22567,0.28467,0.44006,5.58,65,Central and Eastern Europe,5.658,,,5.736,,
Mauritius,2.20223,0.75695,0.46145,1.14372,0.36951,0.05203,0.66189,5.507,66,Sub-Saharan Africa,5.648,,,5.789,,
Libya,2.39374,0.95076,0.40672,1.06688,0.17087,0.10339,0.52304,5.406,67,Middle East and Northern Africa,5.615,,,5.824,,
Latvia,2.20859,0.95025,0.27996,1.21788,0.17445,0.0889,0.63952,5.486,68,Central and Eastern Europe,5.56,,,5.634,,
Cyprus,2.04497,0.70697,0.29507,1.31857,0.27906,0.05228,0.8488,5.442,69,Western Europe,5.546,,,5.65,,
Paraguay,2.16091,1.11111,0.46235,0.89373,0.25296,0.07396,0.58295,5.453,70,Latin America and Caribbean,5.538,,,5.623,,
Romania,2.45184,0.72803,0.36712,1.1697,0.12889,0.00679,0.67602,5.427,71,Central and Eastern Europe,5.528,,,5.629,,
Estonia,1.81985,1.05163,0.41511,1.27964,0.08423,0.18519,0.68098,5.437,72,Central and Eastern Europe,5.517,,,5.597,,
Jamaica,2.35682,0.96372,0.43597,0.89333,0.22245,0.04294,0.59469,5.315,73,Latin America and Caribbean,5.51,,,5.705,,
Croatia,2.52462,0.60809,0.23907,1.18649,0.18434,0.04002,0.70524,5.402,74,Central and Eastern Europe,5.488,,,5.574,,
Hong Kong,0.92614,0.87021,0.48079,1.5107,0.40097,0.31647,0.95277,5.362,75,Eastern Asia,5.458,,,5.554,,
Somalia,3.83772,0.33613,0.56778,0.0,0.27225,0.3118,0.11466,5.321,76,Sub-Saharan Africa,5.44,,,5.559,,
Kosovo,2.80998,0.66062,0.14396,0.90145,0.27992,0.06547,0.54,5.308,77,Central and Eastern Europe,5.401,,,5.494,,
Turkey,2.29074,0.87717,0.23889,1.16492,0.04707,0.12348,0.64718,5.295,78,Middle East and Northern Africa,5.389,,,5.483,,
Indonesia,2.03171,0.87625,0.39237,0.95104,0.56521,0.00322,0.49374,5.237,79,Southeastern Asia,5.314,,,5.391,,
Jordan,2.20142,0.86216,0.36023,0.99673,0.14262,0.13297,0.60712,5.187,80,Middle East and Northern Africa,5.303,,,5.419,,
Azerbaijan,2.2735,0.76042,0.35327,1.12373,0.0564,0.17914,0.54504,5.226,81,Central and Eastern Europe,5.291,,,5.356,,
Philippines,2.23484,0.87877,0.54854,0.81217,0.21674,0.11757,0.47036,5.16,82,Southeastern Asia,5.279,,,5.398,,
China,2.17087,0.79381,0.44012,1.0278,0.04959,0.02745,0.73561,5.199,83,Eastern Asia,5.245,,,5.291,,
Bhutan,1.82916,0.90836,0.46074,0.8527,0.48546,0.1616,0.49759,5.138,84,Southern Asia,5.196,,,5.254,,
Kyrgyzstan,2.28136,0.95434,0.40212,0.56044,0.38432,0.04762,0.55449,5.103,85,Central and Eastern Europe,5.185,,,5.267,,
Serbia,2.27539,0.81329,0.15718,1.03437,0.20737,0.04339,0.6458,5.083,86,Central and Eastern Europe,5.177,,,5.271,,
Bosnia and Herzegovina,2.48406,0.64367,0.09511,0.93383,0.29889,0.0,0.70766,5.063,87,Central and Eastern Europe,5.163,,,5.263,,
Montenegro,2.25531,0.74173,0.15111,1.07838,0.17191,0.12721,0.63533,5.055,88,Central and Eastern Europe,5.161,,,5.267,,
Dominican Republic,1.69626,0.99496,0.52259,1.02787,0.21286,0.12372,0.57669,5.037,89,Latin America and Caribbean,5.155,,,5.273,,
Morocco,2.94891,0.38595,0.25646,0.84058,0.04053,0.08404,0.59471,5.058,90,Middle East and Northern Africa,5.151,,,5.244,,
Hungary,1.95473,0.93164,0.1977,1.24142,0.099,0.04472,0.67608,5.056,91,Central and Eastern Europe,5.145,,,5.234,,
Pakistan,3.18286,0.26135,0.14622,0.68816,0.31185,0.1388,0.40306,5.038,92,Southern Asia,5.132,,,5.226,,
Lebanon,2.07339,0.64184,0.26228,1.12268,0.23693,0.03061,0.76171,5.031,93,Middle East and Northern Africa,5.129,,,5.227,,
Portugal,1.53015,0.94367,0.44727,1.27607,0.11691,0.01521,0.79363,5.03,94,Western Europe,5.123,,,5.216,,
Macedonia,2.08947,0.78236,0.27668,1.0193,0.23507,0.07047,0.64738,5.017,95,Central and Eastern Europe,5.121,,,5.225,,
Vietnam,1.9418,0.79117,0.55954,0.74037,0.25075,0.11556,0.66157,4.991,96,Southeastern Asia,5.061,,,5.131,,
Somaliland Region,2.43801,0.75862,0.3913,0.25558,0.51479,0.36794,0.33108,4.934,97,Sub-Saharan Africa,5.057,,,5.18,,
Tunisia,2.68413,0.43165,0.23553,0.97724,0.03936,0.0817,0.59577,4.965,98,Middle East and Northern Africa,5.045,,,5.125,,
Greece,2.12944,0.75473,0.05822,1.24886,0.0,0.04127,0.80029,4.935,99,Western Europe,5.033,,,5.131,,
Tajikistan,2.39106,0.75602,0.43408,0.48835,0.25998,0.13509,0.53119,4.923,100,Central and Eastern Europe,4.996,,,5.069,,
Mongolia,1.53586,1.08983,0.35972,0.98853,0.34539,0.03285,0.55469,4.838,101,Eastern Asia,4.907,,,4.976,,
Laos,2.08637,0.5497,0.52168,0.68042,0.43079,0.22423,0.38291,4.742,102,Southeastern Asia,4.876,,,5.01,,
Nigeria,2.88586,0.64498,0.27854,0.75216,0.23219,0.0305,0.05108,4.75,103,Sub-Saharan Africa,4.875,,,5.0,,
Honduras,2.29551,0.75596,0.26755,0.69429,0.2044,0.06906,0.58383,4.75,104,Latin America and Caribbean,4.871,,,4.992,,
Iran,1.99817,0.38857,0.22544,1.11758,0.38538,0.0557,0.64232,4.703,105,Middle East and Northern Africa,4.813,,,4.923,,
Zambia,2.58991,0.6376,0.42662,0.61202,0.17866,0.11479,0.23573,4.645,106,Sub-Saharan Africa,4.795,,,4.945,,
Nepal,2.32694,0.69699,0.37012,0.44626,0.3816,0.07008,0.50073,4.698,107,Southern Asia,4.793,,,4.888,,
Palestinian Territories,2.40364,0.71629,0.17744,0.67024,0.11154,0.10613,0.56844,4.649,108,Middle East and Northern Africa,4.754,,,4.859,,
Albania,1.92816,0.50163,0.31866,0.9553,0.1684,0.05301,0.73007,4.546,109,Central and Eastern Europe,4.655,,,4.764,,
Bangladesh,2.60904,0.24749,0.39778,0.54177,0.19132,0.12583,0.52989,4.56,110,Southern Asia,4.643,,,4.726,,
Sierra Leone,3.01402,0.628,0.30685,0.36485,0.23897,0.08196,0.0,4.505,111,Sub-Saharan Africa,4.635,,,4.765,,
Iraq,1.81657,0.59205,0.24856,1.07474,0.19589,0.13636,0.51076,4.446,112,Middle East and Northern Africa,4.575,,,4.704,,
Namibia,1.92198,0.70362,0.48614,0.93287,0.07795,0.10398,0.34745,4.374,113,Sub-Saharan Africa,4.574,,,4.774,,
Cameroon,2.5198,0.62542,0.42736,0.52497,0.2268,0.06126,0.12698,4.417,114,Sub-Saharan Africa,4.513,,,4.609,,
Ethiopia,2.65614,0.37932,0.36703,0.29283,0.29522,0.1717,0.34578,4.425,115,Sub-Saharan Africa,4.508,,,4.591,,
South Africa,1.64227,0.96053,0.42483,1.02416,0.13656,0.08415,0.18611,4.371,116,Sub-Saharan Africa,4.459,,,4.547,,
Sri Lanka,0.91681,0.84783,0.50817,0.97318,0.46978,0.07964,0.62007,4.322,117,Southern Asia,4.415,,,4.508,,
India,2.18032,0.29247,0.40285,0.74036,0.25028,0.08722,0.45091,4.351,118,Southern Asia,4.404,,,4.457,,
Myanmar,1.50655,0.69981,0.42692,0.34112,0.81971,0.20243,0.3988,4.327,119,Southeastern Asia,4.395,,,4.463,,
Egypt,1.96895,0.49813,0.18847,0.95395,0.12706,0.10393,0.52116,4.259,120,Middle East and Northern Africa,4.362,,,4.465,,
